id,nome,rango,intervallo_iniziale,intervallo_finale,eta_massima,eta_minima,longitudine,latitudine,codice_paese,stato_regione,formazione,gruppo_geologico,phylum,classe,ordine,famiglia,genere,origine_dataset,fonte_riempimento_tassonomia
150852,Ankylosauridae,family,Cenomanian,Santonian,100.5,83.6,101.331947,43.938889,MN,Omnogov,Baynshire,,Chordata,Ornithischia,Ornithischia,Ankylosauridae,,0,post_dataset_extra_famiglia_to_ordine
150853,Ornithomimidae,family,Cenomanian,Santonian,100.5,83.6,101.331947,43.938889,MN,Omnogov,Baynshire,,Chordata,Reptilia,Saurischia,Ornithomimidae,,0,post_dataset_extra_famiglia_to_ordine
150855,Hadrosauridae,family,Cenomanian,Santonian,100.5,83.6,101.331947,43.938889,MN,Omnogov,Baynshire,,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,0,post_dataset_extra_famiglia_to_ordine
154974,Ankylosauridae,family,Middle Campanian,Late Campanian,83.6,72.2,101.125,43.487499,MN,Omnogov,Baruungoyot,,Chordata,Ornithischia,Ornithischia,Ankylosauridae,,0,post_dataset_extra_famiglia_to_ordine
154975,Bagaceratops rozhdestvenskyi,species,Middle Campanian,Late Campanian,83.6,72.2,99.75,43.25,MN,Omnogov,Baruungoyot,,Chordata,Ornithischia,Ornithischia,Protoceratopsidae,Bagaceratops,0,dataset_extra_dinosauri
154986,Gobipteryx minuta,species,Middle Campanian,Late Campanian,83.6,72.2,101.125,43.487499,MN,Omnogov,Baruungoyot,,Chordata,Reptilia,<NA>,<NA>,Gobipteryx,0,PBDB
154987,Dendroolithus,genus,Middle Campanian,Late Campanian,83.6,72.2,101.125,43.487499,MN,Omnogov,Baruungoyot,,Chordata,Reptilia,<NA>,Phaceloolithidae,Dendroolithus,0,PBDB
162544,Eolambia caroljonesa,species,Early Cenomanian,,100.5,93.9,-111.169998,38.799999,US,Utah,Cedar Mountain,Dakota,Chordata,Ornithischia,Ornithischia,<NA>,Eolambia,0,PBDB
213455,Numida,genus,Piacenzian,,3.6,2.58,35.216702,-3.2014,TZ,,Vogel River Series,,Chordata,Reptilia,Galliformes,Numididae,Numida,0,
213503,Phasianidae,family,Early Pleistocene,,2.58,0.774,27.7208,-26.016701,ZA,,Swartkrans,Transvaal,Chordata,Reptilia,Galliformes,Phasianidae,,0,
213564,Phasianidae,family,Middle Miocene,,15.98,11.63,16.5,-28.25,,,,,Chordata,Reptilia,Galliformes,Phasianidae,,0,
214202,Francolinus,genus,Pleistocene,,2.58,0.0117,18.0,-33.0,ZA,,,,Chordata,Reptilia,Galliformes,Phasianidae,Francolinus,0,
216894,Peliperdix lathami,species,Holocene,,0.0117,0.0,29.823099,1.2314,CD,,,,Chordata,Reptilia,Galliformes,Phasianidae,Peliperdix,0,
216899,Francolinus,genus,Pleistocene,Holocene,2.58,0.0,29.823,1.374,CD,,,,Chordata,Reptilia,Galliformes,Phasianidae,Francolinus,0,
217632,Phasianidae,family,Zanclean,,5.333,3.6,18.15,-32.976002,ZA,,Varswater,,Chordata,Reptilia,Galliformes,Phasianidae,,0,
217694,Phasianidae,family,Zanclean,,5.333,3.6,18.15,-32.976002,ZA,,Varswater,,Chordata,Reptilia,Galliformes,Phasianidae,,0,
219923,Megaloolithus jabalpurensis,species,Early Campanian,Middle Campanian,83.6,72.2,-68.51667,-37.883331,AR,Neuquén,Anacleto,Neuquén,Chordata,Saurischia,<NA>,Megaloolithidae,Megaloolithus,0,PBDB
219925,Ceratopsidae,family,Late Maastrichtian,,72.2,66.0,-104.482002,43.3494,US,Wyoming,Lance,,Chordata,Ornithischia,Ornithischia,Ceratopsidae,,0,post_dataset_extra_famiglia_to_ordine
219926,Hadrosauridae,family,Late Maastrichtian,,72.2,66.0,-104.482002,43.3494,US,Wyoming,Lance,,Chordata,Ornithischia,Ornithischia,Hadrosauridae,,0,post_dataset_extra_famiglia_to_ordine
219931,Pachycephalosauridae,family,Late Maastrichtian,,72.2,66.0,-104.482002,43.3494,US,Wyoming,Lance,,Chordata,Ornithischia,Ornithischia,Pachycephalosauridae,,0,post_dataset_extra_famiglia_to_ordine
219935,Ceratopsidae,family,Late Campanian,,83.6,72.2,-111.324501,50.814999,CA,Alberta,Dinosaur Park,Belly River,Chordata,Ornithischia,Ornithischia,Ceratopsidae,,0,post_dataset_extra_famiglia_to_ordine
219965,Iguanodon bernissartensis,species,Barremian,Early Aptian,125.77,119.57,3.65,50.476002,BE,Hainaut,Sainte-Barbe Clays,Wealden,Chordata,Ornithischia,Ornithischia,<NA>,Iguanodon,0,PBDB
